Sample ,Cavity,Voltage,Flow rate,Duty cycle,Pulse width,Pulse period,Pulse pkpk,Pulse rms,Laser energy,cavity width(mm),cavity depth(µm)
5,6,25,0.47,20,4,20,3.132333333,1.318666667,0,2.285,72.1
5,7,25,0.47,20,4,20,3.010666667,1.273266667,0,2.199,68.2
5,8,25,0.47,20,4,20,3.329466667,1.397466667,0,2.108,67.2
5,9,25,0.47,20,4,20,3.260866667,1.379214286,0,2.233,61.2
5,10,25,0.47,20,4,20,3.198666667,1.3488,0,2.046,52.2
5,1,25,0.47,30,6,20,2.8984,1.525571429,0,2.886,78.2
5,2,25,0.47,30,6,20,2.3506,1.263571429,0,2.209,72.9
5,3,25,0.47,30,6,20,2.282733333,1.193466667,0,2.186,65.6
5,4,25,0.47,30,6,20,2.04525,1.136571429,0,2.394,58.3
5,5,25,0.47,30,6,20,2.0046,1.054928571,0,2.816,57.4
1,6,25,0.95,50,10,20,0.162066667,0.101,0,0.831,39.72
1,7,25,0.95,50,10,20,0.1400625,0.0873125,0,0.652,49.77
1,8,25,0.95,50,10,20,0.133133333,0.083666667,0,0.737,58.5
1,9,25,0.95,50,10,20,0.127071429,0.0795,0,0.719,59.9
1,10,25,0.95,50,10,20,0.116357143,0.072642857,0,0.714,53.51
1,1,25,0.14,50,10,20,1.903066667,1.279333333,0,2.141,162.2
1,2,25,0.14,50,10,20,2.119466667,1.429466667,0,2.07,149.4
1,3,25,0.14,50,10,20,2.0145,1.3842,0,2.538,138
1,11,25,0.47,50,10,20,0.893857143,0.601928571,0,1.633,96.8
1,12,25,0.47,50,10,20,0.669714286,0.444428571,0,1.489,93.5
1,13,25,0.47,50,10,20,0.614375,0.40625,0,1.494,80.3
1,14,25,0.47,50,10,20,0.5068,0.340142857,0,1.532,75.4
1,15,25,0.47,50,10,20,0.400428571,0.263571429,0,1.469,61
6,16,25,0.47,50,10,20,1.4630625,0.9766,100,2.078,107.5
6,17,25,0.47,50,10,20,1.156866667,0.798357143,100,2.194,95.3
6,18,25,0.47,50,10,20,1.34875,0.896133333,100,2.323,91.4
6,19,25,0.47,50,10,20,1.0075,0.6729375,100,2.041,76.4
6,20,25,0.47,50,10,20,1.513125,1.0168125,100,2.424,103.5
7,1,25,0.47,50,10,20,1.404875,0.947666667,100,2.979,82
7,2,25,0.47,50,10,20,1.576466667,1.142071429,100,2.945,83.4
7,3,25,0.47,50,10,20,1.915,1.3685,100,2.943,74.1
7,4,25,0.47,50,10,20,1.9985625,1.3608125,100,2.88,76
7,5,25,0.47,50,10,20,0.891466667,0.6024,100,1.92,89.9
6,1,25,0.47,50,10,20,1.598266667,1.075133333,25,2.5,120.5
6,2,25,0.47,50,10,20,1.5785625,1.0886,25,2.449,108
6,3,25,0.47,50,10,20,1.0009375,0.694,25,1.734,104.9
6,4,25,0.47,50,10,20,1.0255,0.68475,25,1.865,97.8
6,5,25,0.47,50,10,20,1.62375,1.114333333,25,2.38,103.3
6,6,25,0.47,50,10,20,2.3966875,1.6028125,50,2.392,127.1
6,7,25,0.47,50,10,20,2.3778,1.596866667,50,2.576,110.8
6,8,25,0.47,50,10,20,1.776,1.216533333,50,2.443,112.1
6,9,25,0.47,50,10,20,1.5421875,1.0345625,50,2.367,106.5
6,10,25,0.47,50,10,20,1.631125,1.136666667,50,2.653,103.6
6,11,25,0.47,50,10,20,1.596466667,1.063866667,50,2.557,104.9
6,12,25,0.47,50,10,20,0.84225,0.555625,50,1.738,96.5
6,13,25,0.47,50,10,20,0.938375,0.6239375,50,2.194,84.3
6,14,25,0.47,50,10,20,0.571375,0.3779375,50,1.515,68.7
6,15,25,0.47,50,10,20,0.269666667,0.175333333,50,1.616,77.8
5,11,25,0.47,50,25,50,1.777071429,1.218714286,0,2.411,109.8
5,12,25,0.47,50,25,50,2.3254375,1.606071429,0,2.234,91.5
5,13,25,0.47,50,25,50,2.383933333,1.653357143,0,1.895,79.7
5,14,25,0.47,50,25,50,2.212625,1.515466667,0,3.173,97
5,15,25,0.47,50,25,50,1.671333333,1.1564,0,2.43,96.2
5,16,25,0.47,50,4,8,1.493714286,0.987142857,0,1.911,111.4
5,17,25,0.47,50,4,8,1.772571429,1.1855,0,2.703,107.6
5,18,25,0.47,50,4,8,1.527733333,1.02,0,2.342,95.2
5,19,25,0.47,50,4,8,1.436666667,0.961933333,0,2.078,87.9
5,20,25,0.47,50,4,8,1.155642857,0.772714286,0,2.278,82.9
4,11,15,0.47,50,10,20,1.812933333,1.234785714,0,2.361,69.7
4,12,15,0.47,50,10,20,1.605666667,1.127214286,0,2.411,66.2
4,13,15,0.47,50,10,20,0.888066667,0.6,0,1.852,89.1
4,14,15,0.47,50,10,20,1.177642857,0.801642857,0,2.38,77.7
4,15,15,0.47,50,10,20,1.253333333,0.856266667,0,1.823,72.9
3,i,20,0.47,50,10,20,1.620733333,1.111285714,0,1.784,130.3
3,ii,20,0.47,50,10,20,1.901266667,1.290333333,0,2.452,95.7
3,iii,20,0.47,50,10,20,1.787714286,1.216928571,0,2.222,93.7
3,iv,20,0.47,50,10,20,1.433428571,0.969714286,0,2.348,103.6
3,v,20,0.47,50,10,20,1.571857143,1.077538462,0,3.021,77.3
3,vi,20,0.47,50,10,20,0.808285714,0.541071429,0,1.591,106.5
3,vii,20,0.47,50,10,20,0.830466667,0.552933333,0,1.557,95.9
3,viii,20,0.47,50,10,20,0.7114375,0.492666667,0,1.553,86.4
3,ix,20,0.47,50,10,20,0.521333333,0.354642857,0,1.523,76.6
3,x,20,0.47,50,10,20,0.4138,0.2736,0,1.515,57.59
4,26,22,0.47,50,10,20,0.902,0.626933333,0,1.603,103.2
4,27,22,0.47,50,10,20,0.704071429,0.468642857,0,1.582,86.1
4,28,22,0.47,50,10,20,0.4405,0.303133333,0,1.527,72.7
4,29,22,0.47,50,10,20,1.032714286,0.694285714,0,2.189,88.7
4,30,22,0.47,50,10,20,0.765066667,0.511066667,0,1.772,77.5
4,1,25,0.47,50,10,20,2.5266,1.696266667,0,1.988,100.8
4,2,25,0.47,50,10,20,2.0778,1.405933333,0,2.57,97.6
4,3,25,0.47,50,10,20,2.105285714,1.4225,0,2.785,81.1
4,4,25,0.47,50,10,20,2.0026,1.356066667,0,3.367,76.1
4,5,25,0.47,50,10,20,1.9184,1.2996,0,2.658,67.4
4,6,25,0.47,50,10,20,1.143375,0.76125,0,1.802,110.7
4,7,25,0.47,50,10,20,2.363866667,1.5912,0,2.557,93.3
4,8,25,0.47,50,10,20,2.603666667,1.753,0,2.753,84.4
4,9,25,0.47,50,10,20,2.187333333,1.4718,0,2.241,70.9
4,10,25,0.47,50,10,20,2.439866667,1.647466667,0,2.652,74.4
4,16,30,0.47,50,10,20,0.524666667,0.322071429,0,1.497,112.9
4,17,30,0.47,50,10,20,2.8455625,1.8818,0,2.411,92.7
4,18,30,0.47,50,10,20,2.554733333,1.687642857,0,2.411,83.8
4,19,30,0.47,50,10,20,0.273866667,0.1788,0,0.991,85.2
4,20,30,0.47,50,10,20,0.3322,0.2182,0,1.608,84.8
4,21,30,0.47,50,10,20,0.7565,0.4853125,0,1.446,107.5
4,22,30,0.47,50,10,20,0.908866667,0.5968,0,2.046,106
4,23,30,0.47,50,10,20,1.4075625,0.9419375,0,2.323,96.9
4,24,30,0.47,50,10,20,2.275333333,1.536333333,0,3.055,78.4
4,25,30,0.47,50,10,20,2.368066667,1.602933333,0,2.677,65
